Rank,Page title,Views,Daily average,Assessment,Importance
,,,,,
1,Keystone Pipeline,"573,455","18,498",C,Mid
,,,,,
2,Don't Look Up,"415,690","13,409",C,Low
3,Great Reset,"232,194","7,490",C,Mid
,,,,,
4,Climate change,"200,384","6,464",FA,Top
,,,,,
5,Antarctica,"181,689","5,860",FA,High
,,,,,
6,David Attenborough,"165,756","5,346",GA,Mid
,,,,,
7,Greta Thunberg,"151,542","4,888",GA,High
8,Car,"146,672","4,731",B,High
9,Air pollution,"132,344","4,269",B,High
10,Petroleum,"132,311","4,268",B,High
11,Cattle,"122,766","3,960",B,High
12,Natural gas,"108,750","3,508",C,Top
13,Sustainable development,"99,470","3,208",C,High
14,Al Gore,"97,404","3,142",GA,High
15,Köppen climate classification,"92,500","2,983",B,Low
16,Polar bear,"92,319","2,978",GA,Mid
17,Lithium-ion battery,"79,744","2,572",C,High
18,Greenhouse effect,"79,363","2,560",C,Top
19,Ammonia,"79,205","2,555",B,Low
20,Earth Hour,"78,821","2,542",C,Mid
21,Drought,"77,113","2,487",C,High
22,Rice,"76,611","2,471",B,High
23,Atmosphere of Earth,"76,007","2,451",C,High
24,Carbon dioxide,"75,681","2,441",C,High
25,Gasoline,"74,419","2,400",B,Mid
26,Greenhouse gas,"69,292","2,235",B,Top
27,Renewable energy,"67,805","2,187",B,Top
28,"Environmental, social and corporate governance","61,160","1,972",C,Low
29,Coal,"59,338","1,914",B,Top
30,Fossil fuel,"58,850","1,898",C,Top
31,Michael Shellenberger,"55,569","1,792",C,Low
32,"Heating, ventilation, and air conditioning","53,223","1,716",C,Unknown
33,Fertilizer,"51,814","1,671",B,Mid
34,Deforestation,"51,333","1,655",B,High
35,The Day After Tomorrow,"51,221","1,652",C,Low
36,Sustainable energy,"50,797","1,638",FA,Top
37,Taiga,"50,489","1,628",C,Mid
38,Flood,"50,396","1,625",B,High
39,Heat pump,"47,924","1,545",C,High
40,Paris Agreement,"47,539","1,533",GA,Top
41,Tundra,"46,082","1,486",C,Mid
42,Ozone depletion,"44,869","1,447",B,Mid
43,Solar energy,"44,350","1,430",C,High
44,Bamboo,"44,325","1,429",C,Mid
45,Concrete,"43,522","1,403",B,High
46,Cement,"43,455","1,401",B,High
47,Kyoto Protocol,"42,357","1,366",B,Mid
48,Air conditioning,"42,196","1,361",C,High
49,Wind power,"41,066","1,324",B,Top
50,Waterworld,"40,853","1,317",C,Low
